,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
2809,2809,HUAWEI Mate 10 Pro,拍照清晰，电池一天一冲，手感好,5,2018-07-21 13:53:02,奈何花落尽55,亮黑色,64GB,标准版,来自京东Android客户端,银牌会员
2810,2810,HUAWEI Mate 10 Pro,还没用，不过相信华为的品质,5,2018-08-16 12:30:56,江***堇,亮黑色,64GB,标准版,来自京东Android客户端,钻石会员
2811,2811,HUAWEI Mate 10 Pro,还行，感觉全面屏还是有点丑,5,2018-08-13 20:55:30,唯***况,亮黑色,64GB,标准版,来自京东Android客户端,金牌会员
2812,2812,HUAWEI Mate 10 Pro,一句话很喜欢,5,2018-08-26 17:30:51,s***8,亮黑色,64GB,标准版,来自京东iPhone客户端,PLUS会员
2813,2813,HUAWEI Mate 10 Pro,外观好看，颜色高档，功能强大，华为质量不错，一直用华为手机，京东送货速度快，服务好。,5,2018-08-27 11:48:16,j***浩,香槟金,128GB,标准版,来自京东Android客户端,钻石会员
2814,2814,HUAWEI Mate 10 Pro,第三部华为手机了，越做越好,5,2018-08-09 20:55:40,W***1,亮黑色,64GB,标准版,来自京东Android客户端,钻石会员
2815,2815,HUAWEI Mate 10 Pro,手机比较满意！真心觉得不错,5,2018-08-09 08:02:06,q***i,亮黑色,64GB,标准版,来自京东Android客户端,金牌会员
2816,2816,HUAWEI Mate 10 Pro,很不错手机，购买不后悔！,5,2018-08-22 10:05:56,李***M,亮黑色,64GB,标准版,来自京东Android客户端,银牌会员
2817,2817,HUAWEI Mate 10 Pro,送人的，据说使用起来还可以,5,2018-08-08 10:05:05,f***n,亮黑色,64GB,标准版,,金牌会员
2818,2818,HUAWEI Mate 10 Pro,拍照清晰电池耐用 速度及快,5,2018-08-07 08:43:29,u***j,亮黑色,64GB,标准版,来自微信购物,银牌会员
2819,2819,HUAWEI Mate 10 Pro,已入手 送货速度快 好使,5,2018-08-20 11:36:14,k***q,亮黑色,64GB,标准版,来自京东Android客户端,金牌会员
2820,2820,HUAWEI Mate 10 Pro,可以！用一段时间再说！,5,2018-09-02 21:13:42,京***东,亮黑色,64GB,标准版,来自京东Android客户端,钻石会员
2821,2821,HUAWEI Mate 10 Pro,喜欢没毛病，以后哈回来买,5,2018-08-17 10:14:18,酸***9,亮黑色,64GB,标准版,来自京东Android客户端,金牌会员
2822,2822,HUAWEI Mate 10 Pro,跟IP7比还是略卡啊,5,2018-09-12 14:44:32,潘***福,亮黑色,64GB,标准版,来自京东iPhone客户端,钻石会员
2823,2823,HUAWEI Mate 10 Pro,好用，一直用国货。很漂亮！,5,2018-07-30 20:56:30,j***7,亮黑色,64GB,标准版,来自京东Android客户端,金牌会员
2824,2824,HUAWEI Mate 10 Pro,东西，很好，老爸很开心,5,2018-08-21 19:25:41,j***8,亮黑色,64GB,标准版,来自京东iPhone客户端,银牌会员
2825,2825,HUAWEI Mate 10 Pro,好得很，值得拥有，中华有为,5,2018-08-12 13:41:29,风***s,亮黑色,64GB,标准版,来自京东Android客户端,钻石会员
2826,2826,HUAWEI Mate 10 Pro,非常好用，信号很强大,5,2018-09-16 11:54:26,青***燕,亮黑色,64GB,标准版,来自京东Android客户端,钻石会员
2827,2827,HUAWEI Mate 10 Pro,华为手机。相信它的电池比较耐用，可是这次的购买非常不愉快，因为当天下单而且是货到付款。晚上的时候发现价格有变动所以申请了价保，这个价保也是从12号弄到15才解决一次很不愉快的购物！,5,2018-09-16 12:59:35,王***5,亮黑色,128GB,标准版,来自京东Android客户端,PLUS会员
2828,2828,HUAWEI Mate 10 Pro,不错的手机，值得拥有。,5,2018-08-25 09:04:34,c***i,亮黑色,64GB,标准版,,企业会员
2829,2829,HUAWEI Mate 10 Pro,先用着试试看看怎么样,5,2018-09-07 13:43:01,a***哥,亮黑色,64GB,标准版,来自京东Android客户端,金牌会员
2830,2830,HUAWEI Mate 10 Pro,目前没问题手机可以?,5,2018-08-23 14:54:51,j***3,亮黑色,64GB,标准版,来自京东Android客户端,银牌会员
2831,2831,HUAWEI Mate 10 Pro,不错，到货真快！,5,2018-09-05 00:18:37,B***1,亮黑色,64GB,标准版,来自京东iPhone客户端,PLUS会员
2832,2832,HUAWEI Mate 10 Pro,用着还行吧，给老爸买的,5,2018-08-12 13:30:18,天***6,亮黑色,64GB,标准版,来自京东Android客户端,银牌会员
2833,2833,HUAWEI Mate 10 Pro,手机真不错，物理键好用,5,2018-08-10 19:09:35,j***7,亮黑色,64GB,标准版,来自微信购物,金牌会员
2834,2834,HUAWEI Mate 10 Pro,手机很好用，一直用华为,5,2018-08-10 16:35:26,j***t,亮黑色,64GB,标准版,来自京东Android客户端,银牌会员
2835,2835,HUAWEI Mate 10 Pro,给爸爸买的，爸爸很满意，颜色很有气质，很适合爸爸，快递服务也很好，一次满意的购物,5,2018-08-27 13:55:09,w***e,摩卡金,64GB,标准版,来自京东Android客户端,银牌会员
2836,2836,HUAWEI Mate 10 Pro,是行货正品,5,2018-08-23 14:39:42,j***u,亮黑色,64GB,标准版,来自京东Android客户端,PLUS会员
2837,2837,HUAWEI Mate 10 Pro,服务很好很满意很不错,5,2018-08-22 13:37:56,北***捷,亮黑色,64GB,标准版,,企业会员
2838,2838,HUAWEI Mate 10 Pro,送货快，东西不错，挺满意,5,2018-08-08 00:31:12,z***0,亮黑色,64GB,标准版,来自京东Android客户端,PLUS会员[试用]
