,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
4981,4981,HUAWEI Mate 9,物品挺好的，正在使用阶段还没有发现不足，本来是电子产品包装太随意没有加装泡沫包装，产品包装有些地方受损，希望以后重视改进，物流很快服务周到！,5,2018-08-24 11:41:47,z***1,银钻灰,128GB,标准版,,PLUS会员[试用]
4982,4982,HUAWEI Mate 9,此用户未填写评价内容,5,2018-08-21 20:48:09,郭***f,银钻灰,64GB,标准版,来自京东Android客户端,金牌会员
4983,4983,HUAWEI Mate 9,网上购物体验物流最快的一次，早上十点多下单，下午六点就到了，是飞来的吧，打开盒子看到手机的一瞬间真的很惊喜，漂亮。手机很不错，拍照强大，满意,5,2018-08-24 09:52:49,流***爱,银钻灰,64GB,标准版,来自京东Android客户端,银牌会员
4984,4984,HUAWEI Mate 9,手机很好用，值得入手,5,2018-08-20 07:31:07,j***q,宝石蓝,64GB,标准版,来自京东Android客户端,银牌会员
4985,4985,HUAWEI Mate 9,该机是关注很久了，也一直看好它，这次价格合适就及时出手了，真的不负我心。美观大方，使用顺心应手，功能强大。值、值！！！,5,2018-08-27 17:32:25,j***-,宝石蓝,64GB,标准版,,PLUS会员
4986,4986,HUAWEI Mate 9,之前购买了一个，它不会振动，所以换货了。京东的售后还是很好的，很快换了一个新的给我，这个使用了一段时间了，没问题，现在发个好评。,5,2018-09-12 15:43:52,j***5,银钻灰,128GB,标准版,来自京东Android客户端,钻石会员
4987,4987,HUAWEI Mate 9,不错。第一次用华为,5,2018-09-08 13:29:05,1***8,宝石蓝,64GB,标准版,来自京东Android客户端,钻石会员
4988,4988,HUAWEI Mate 9,此用户未填写评价内容,5,2018-08-11 19:49:39,j***d,银钻灰,128GB,标准版,来自京东Android客户端,银牌会员
4989,4989,HUAWEI Mate 9,此用户未填写评价内容,5,2018-08-19 11:11:48,j***增,银钻灰,64GB,标准版,来自京东Android客户端,钻石会员
4990,4990,HUAWEI Mate 9,外观  性能都不错，老公一直心心念念这么久了总于昨天拿到手上了，喜欢得很！就是这都出来快一年了，怎么没怎么掉价格呢！,5,2018-09-17 15:44:44,真水无香2753,银钻灰,128GB,标准版,来自京东Android客户端,PLUS会员
4991,4991,HUAWEI Mate 9,比想象的要好，很漂亮，手握宽度适中，有些游戏还是会黑屏或者闪退，但是一些兼容的游戏还是不错的，就是安卓游戏~太麻烦,5,2018-09-11 12:33:57,轻***雨,宝石蓝,128GB,标准版,来自京东iPhone客户端,PLUS会员
4992,4992,HUAWEI Mate 9,手机很好用，这是我买的第四个华为了，一如既往的好用，系统稳定，照片清晰，玩游戏不卡，已经用了一个多月了，没出现任何问题，支持国产，支持华为,5,2018-08-22 18:24:40,jd_刘建文m,樱粉金,128GB,标准版,来自京东Android客户端,钻石会员
4993,4993,HUAWEI Mate 9,物流速度很快，凌晨下单，下午便收到货。机身颜色和图片颜#差明显。还未正式使用，质量情况暂无发言权。配手机软套和已贴好薄膜。耳机音质清脆。,5,2018-08-19 01:53:12,j***a,摩卡金,128GB,标准版,来自微信购物,金牌会员
4994,4994,HUAWEI Mate 9,华为的拍照效果真的秒杀iPhone啊。。。真的是国产品牌的骄傲。。但因为用了快7年的iPhone，有些个别软件安卓还是下载不了，稍觉得不便,5,2018-08-20 14:23:24,i***蕊,银钻灰,128GB,标准版,来自京东Android客户端,金牌会员
4995,4995,HUAWEI Mate 9,物流不错，快！送了一个保护套（手感挺不错的），还送了个耳机。手机屏占比高，屏幕分辨率高，指纹解锁瞬间响应，总体给人眼前一亮的感觉，不错不错,5,2018-08-19 20:25:57,冷场大咖,银钻灰,64GB,标准版,来自京东Android客户端,金牌会员
4996,4996,HUAWEI Mate 9,用一段时间后再评价,5,2018-08-24 17:24:58,j***s,宝石蓝,128GB,标准版,来自京东Android客户端,金牌会员
4997,4997,HUAWEI Mate 9,以前一直用苹果，拿到这款手机感觉到了国产机的强大，解锁和人脸识别非常棒，第一次用华为，有许多功能还不熟悉还在探讨之中,5,2018-08-23 05:33:53,y***旗,宝石蓝,128GB,标准版,来自京东Android客户端,PLUS会员
4998,4998,HUAWEI Mate 9,拍照效果不错，较以前的mate8有进步，不过续航时间很短，电话多的时候下午就没电了，原来的mate8续航能力强，就是没卖的了。款式漂亮,5,2018-09-13 00:14:01,a***u,宝石蓝,128GB,标准版,来自京东iPhone客户端,金牌会员
4999,4999,HUAWEI Mate 9,非常好用，超喜欢。,5,2018-08-20 19:36:39,黄***锋,银钻灰,64GB,标准版,来自京东Android客户端,钻石会员
5000,5000,HUAWEI Mate 9,刚买几天就降价，拍照，没有想象的那么好，王者荣耀也发烫，亮度手动调节之后，一重新启动，就变成自动了，看来大家喜欢苹果，不是没有道理的,5,2018-08-24 08:22:17,l***8,宝石蓝,64GB,标准版,来自京东Android客户端,金牌会员
5001,5001,HUAWEI Mate 9,收到之后拆机，果然没让我失望，虽然本来是想买RS的，但是看了硬件配置，感觉不值那个价，还是选择了10Pro，毕竟去年的明星机,5,2018-08-10 19:21:29,小***片,银钻灰,128GB,标准版,来自京东Android客户端,金牌会员
5002,5002,HUAWEI Mate 9,有瑕疵，有瑕疵，但是赶着用手机，早知道去店里买了，价钱一样，服务还好，总之一般般的购物体验,4,2018-08-29 21:54:19,j***a,银钻灰,128GB,标准版,来自京东Android客户端,银牌会员
5003,5003,HUAWEI Mate 9,手机挺好的，非常喜欢，刚开始收到货感觉不喜欢这个颜色，后来觉得还不错，最主要的就是屏幕很炫酷，立体感很好，总之很喜欢，好评好评好评！,5,2018-08-20 14:05:31,j***r,银钻灰,64GB,标准版,来自京东Android客户端,金牌会员
5004,5004,HUAWEI Mate 9,试用了一周，从mate7直接过渡到mate10 pro，迁移方便，运行非常流畅，电池耐用，平均一天只用一半电量,5,2018-08-25 08:49:03,j***g,宝石蓝,128GB,标准版,来自京东Android客户端,PLUS会员
5005,5005,HUAWEI Mate 9,此用户未填写评价内容,5,2018-08-15 09:23:16,X***U,樱粉金,128GB,标准版,来自京东Android客户端,金牌会员
5006,5006,HUAWEI Mate 9,很喜欢华为mate的手机，之前mate8换了这个。不过在强光下会闪屏，客服说关掉亮度自动调整就好了。这点需要以后改进。,5,2018-08-30 11:14:14,j***c,樱粉金,128GB,标准版,,PLUS会员
5007,5007,HUAWEI Mate 9,原来用的是乐视，现在第一次体验华为。手持感比较好，反应很快，充电也很快。更多功能还没有尝试呢，也还没有发现存在什么毛病。总之比较满意吧。,5,2018-09-11 20:34:05,秋***叶,银钻灰,128GB,标准版,,金牌会员
5008,5008,HUAWEI Mate 9,电池超级给力，比我原来的HTC10强了不是一点半点，我这重度手机使用着一天都够用，至于系统，用着还不错，用了半个月了，没卡过！超级好评！,5,2018-09-13 09:52:14,宝***9,宝石蓝,128GB,标准版,来自京东Android客户端,钻石会员
5009,5009,HUAWEI Mate 9,手机真的很不错，货比三家，最后京东下单，送货很快，正好干上活动，拍照非常的棒，很喜欢，以后一定能成为华为粉,5,2018-09-18 11:47:45,l***5,银钻灰,128GB,标准版,,PLUS会员
5010,5010,HUAWEI Mate 9,手机非常漂亮，运行速度快，操作很流畅，从麦八用到麦10.就是麦9买来以后手机充电端口很松，给手机充电影响很大。,5,2018-08-26 16:40:30,海豚乐园,樱粉金,64GB,标准版,来自京东Android客户端,PLUS会员
5011,5011,HUAWEI Mate 9,一直关注这款，终于等到降价，4200下单买了，结果第二天又降到4000，还好保价成功退了200。嫌麻烦，要换手机拍，就这样评吧。,5,2018-09-04 18:07:05,东***秀,摩卡金,128GB,标准版,来自京东Android客户端,金牌会员
5012,5012,HUAWEI Mate 9,用了一段时间才评价，缺点是3月生产的，里面的保修是6月开始的，问题我8月买的，不过客服说京东电子发票可以保修到8月。3499下的单。,5,2018-08-21 07:47:59,j***g,银钻灰,64GB,标准版,来自京东Android客户端,银牌会员
5013,5013,HUAWEI Mate 9,外观很好就是电池不行，以前的华为两三天充一次电，这款现在每天都要充电。不过还是很喜欢的，毕竟国人还是要支持国货,5,2018-08-20 07:39:05,祝***育,樱粉金,128GB,标准版,来自京东iPhone客户端,PLUS会员
5014,5014,HUAWEI Mate 9,画质，音效比mate此前的版本好，充电很快，脸部识别超快，快到我怀疑设置的锁屏是否生效。不过指纹录入太费劲,5,2018-09-16 11:46:19,j***n,宝石蓝,128GB,标准版,来自京东Android客户端,PLUS会员
5015,5015,HUAWEI Mate 9,不得不说京东的服务真的很好，手机有点问题，立马二话不说换新的，买这种大件还是京东靠谱啊！最起码售后不用担心,5,2018-09-12 09:40:48,包***菜,银钻灰,64GB,标准版,来自京东Android客户端,银牌会员
