,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
30772,30772,HUAWEI WATCH 2 Pro,还不错,5,2018-09-05 22:53:55,会***子,金色,普通版,3GB+32GB,来自京东iPhone客户端,银牌会员
30773,30773,HUAWEI WATCH 2 Pro,寄回老家的，性价比很高，很不错的一款手机,5,2018-09-05 22:50:25,j***1,蓝色,普通版,4GB+64GB,来自京东Android客户端,钻石会员
30774,30774,HUAWEI WATCH 2 Pro,手机挺爱发热的，都是一千二的手机，感觉不如之前买的7X，除了发热之外，其他总体可以。,5,2018-09-05 22:29:46,j***x,黑色,普通版,4GB+64GB,来自京东Android客户端,银牌会员
30775,30775,HUAWEI WATCH 2 Pro,手机是正货，现在用的还可以。外观好看，下次在上京东买。,5,2018-09-05 22:20:58,w***E,黑色,普通版,4GB+64GB,来自微信购物,银牌会员
30776,30776,HUAWEI WATCH 2 Pro,一直用华为手机，全家都用华为，支持国产，不错?,5,2018-09-05 22:13:27,z***妇,黑色,普通版,4GB+64GB,来自京东Android客户端,PLUS会员
30777,30777,HUAWEI WATCH 2 Pro,机身薄，轻，分辨率还不错，照相也不错，总体效果满意。,5,2018-09-05 22:12:48,j***d,黑色,普通版,4GB+64GB,来自京东Android客户端,PLUS会员
30778,30778,HUAWEI WATCH 2 Pro,还行 用的不错 就是玩消消乐都居然会卡 照相一般,5,2018-09-05 22:07:49,匿***鱼,黑色,普通版,4GB+64GB,来自京东Android客户端,银牌会员
30779,30779,HUAWEI WATCH 2 Pro,不错的机器！很好！做工非常精致了,5,2018-09-05 21:55:26,j***h,蓝色,普通版,4GB+64GB,来自京东iPhone客户端,钻石会员
30780,30780,HUAWEI WATCH 2 Pro,很好,5,2018-09-05 21:54:39,j***s,金色,普通版,4GB+64GB,来自京东Android客户端,银牌会员
30781,30781,HUAWEI WATCH 2 Pro,之前一直用的华为，耐用。相信华为，支持华为。,5,2018-09-05 21:53:12,j***f,黑色,普通版,4GB+64GB,来自京东Android客户端,银牌会员
30782,30782,HUAWEI WATCH 2 Pro,一家人都用华为手机了，这部是送给老爸的，唯一不满意的是，电量消耗太快太快了，又不支持快充，一天一充还不带玩游戏，看下新闻天气~～伤心,5,2018-09-05 21:48:05,j***e,黑色,普通版,4GB+64GB,来自京东Android客户端,银牌会员
