,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
30807,30807,HUAWEI WATCH 2,垃圾一笔，说好送东西结果也不送，真垃圾，不送就不要写，坑。,1,2017-03-26 21:10:48,疾***行,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,金牌会员
30808,30808,HUAWEI WATCH 2,晕，京东是在玩哪样？交了99预约金买的，结果就一裸机。不预约也可以随便买到还有个小赠品，真不知预约是玩啥！,1,2017-03-26 17:41:02,笑***8,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,PLUS会员
30809,30809,HUAWEI WATCH 2,本想支持国货，但戴上后体验非常差，微信、短信等没有推送提示，打当地华为客服也没解决，再用用看，要是还不好就退货。但京东物流非常好,1,2017-03-26 15:48:33,jd185639umk,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,银牌会员
30810,30810,HUAWEI WATCH 2,手表到了  不是说  预交定金的送电子秤么   但是电子秤去哪里了呢,1,2017-03-26 00:00:31,奔***龟,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,PLUS会员
30811,30811,HUAWEI WATCH 2,赶紧完善APP 吧，手表不错，APP 连接真头疼，特别是苹果手机！,1,2017-03-25 22:28:46,j***哥,蓝牙版碳晶黑,,蓝牙版,来自京东iPhone客户端,PLUS会员
30812,30812,HUAWEI WATCH 2,外观还行，但是手表功能还是有点小失望，特别是连接苹果手机，感觉没有什么用啊，相关数据也不能导入到苹果的健康软件里。,3,2017-03-30 13:34:01,x***2,蓝牙版碳晶黑,,蓝牙版,,金牌会员
30813,30813,HUAWEI WATCH 2,表不错  但京东此次预售  乱糟的   说送的vR不送   扣2星,3,2017-03-30 08:55:43,j***1,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,钻石会员
30814,30814,HUAWEI WATCH 2,新型电子表吧，没什么惊喜之处。表盘更新不上，玩玩而已了。,3,2017-03-29 23:24:47,d***9,蓝牙版碳晶黑,,蓝牙版,,银牌会员
30815,30815,HUAWEI WATCH 2,"2分给颜值
我用过华 米手表和本 机，其他没",2,2017-03-29 19:21:04,楚***滑,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,PLUS会员
30816,30816,HUAWEI WATCH 2,"京东多年，第一次最差体验！提前预约，3月24日17：50收到确认信息：【京东】尊敬的京东会员您好，您在京东预约的华为手表【编号：4499276】，将于3月24日18:08开始抢购，提前支付99元定金有惊喜，货源有限先到先得。详情链接：*******。注：预约中奖用户可凭此短信作为预约截图凭证。我3月24日17时左右按此链接操作&mdash;&mdash;3月24日17：11：15支付定金99，25日00：52：12付尾款1589。活动界面上促销信息《四重豪礼》：1、2017年3月24日18：08前支付定金99并在3月27日24：00前支付尾款即送体脂秤；2、享白条6期免息；3、3月24日18：08～3月26日23：59活动期间购买，即送暴风VR眼镜；4、3月24日18：08～4月30日23：59评价晒单，即可送华为自拍杆。但我收到只一块手表！多次联系华为和京东，才答应补寄体脂秤。但VR却以&ldquo;送完为由&rdquo;不予赠送！不知道是京东的意思还是华为的意思，也不知道你们送了几个！无语！
考虑到表还是不错的，给三颗星客观评价！",3,2017-03-29 14:34:56,g***5,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,PLUS会员
30817,30817,HUAWEI WATCH 2,京东物流很快，但是华为的这个预约活动有很多不诚信的地方。1.之前预约并没有说明要预付定金，并且预约抢购送体脂称、vr燕京是并列关系，并不是现在后补充的说明二选一的关系，这是严重欺骗消费者，京东敢不敢把原始预约的页面广告放出来，让大家好好看看，和现在的有什么不同。2.预付定金的买家竟然需要比不预付的晚4个小时才能支付尾款，这又是什么道理？6点刚开始发售的时候，直接购买还可以使用1000-50的优惠券，并且有VR赠品，几个小时以后，不能使用优惠券了。预付定金99元如果不支付尾款，也不给退，如果要耍赖，只能买完在退货。3.手表功能夸大宣传，根本就没有音乐播放功能。很多基本功能没有，睡眠监测，运动模式自动监测，运动模式很少，只有步行和跑步，没有游泳，骑行，羽毛球等等。总体来说，硬件配置不错，功能太单一，甚至不如手环。性价比不高。期待后续完善华为健康功能。,3,2017-03-29 08:38:43,l***k,蓝牙版碳晶黑,,蓝牙版,,PLUS会员
30818,30818,HUAWEI WATCH 2,只想给三星，没有想象的惊艳。软件也少，流畅度一般。之前在和佳明235纠结，现在感到选错了！,3,2017-03-28 22:44:55,姚***宁,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,金牌会员
30819,30819,HUAWEI WATCH 2,使用两天来写，电池达不到说明的两天，还是要每天一冲的，这点很不方便。,3,2017-03-28 17:43:56,1***p,蓝牙版碳晶黑,,蓝牙版,来自微信购物,金牌会员
30820,30820,HUAWEI WATCH 2,样子比想象中的好看点  但是功能使用起来还是不是很方便  希望以后能慢慢做的更好点吧,3,2017-03-28 10:42:25,w***y,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,钻石会员
30821,30821,HUAWEI WATCH 2,付款的时候没注意 买了之后才知道原来还有4g版 自营店没有这个选项 唯一一个不足,3,2017-03-27 13:03:26,J***s,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,金牌会员
30822,30822,HUAWEI WATCH 2,手表一般，开机时间太久，塑料感强，表盘偏厚，表带太硬，对于手瘦的人非常不适合，wifi连接下载速度太慢，官方介绍能播放音乐，但就是找不到。电池不耐用，续航能力不足。华为支付等等支付功能就是鸡肋，实用性不强，还不如直接掏手机支付方便快速。倾斜唤醒，手腕手势不灵敏，延迟一两秒，功能设置方面非常差，屏幕显示不能设置亮屏时间，屏幕锁定每次唤醒都要解锁，太繁琐了，个人认为只有进入支付程序才要解锁才合理。总体手表实用性不强，比电子表稍强一点。,2,2017-03-26 22:04:12,天空蜗牛,蓝牙版碳晶黑,,蓝牙版,来自京东Android客户端,PLUS会员
