,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
14484,14484,HUAWEI nova 3i,手机摄像头部位有零件抖动声音,5,2018-09-13 13:48:01,f***3,亮黑色,6GB +128GB,普通版,来自京东Android客户端,银牌会员
14485,14485,HUAWEI nova 3i,蛮好的,5,2018-09-13 13:21:25,柳***扬,蓝楹紫,6GB +128GB,普通版,来自京东Android客户端,金牌会员
14486,14486,HUAWEI nova 3i,"还可以吧 前天早上下的单 昨天中午到的
充电有点慢 运行6G实际才3.5左右
不过算挺快的",5,2018-09-13 13:18:25,肉***Z,相思红,6GB +128GB,普通版,来自京东Android客户端,银牌会员
14487,14487,HUAWEI nova 3i,一直在用，相信华为品牌,5,2018-09-13 12:53:45,m***z,亮黑色,6GB +128GB,普通版,来自京东Android客户端,银牌会员
14488,14488,HUAWEI nova 3i,非常好，挺好用的，值得购买，反应速度很快，内存也够用，京东物流牛，相信京东。,5,2018-09-13 12:52:49,g***4,亮黑色,6GB +128GB,普通版,来自京东Android客户端,钻石会员
14489,14489,HUAWEI nova 3i,屏幕够大。物流很快。到手的时候迫不及待就打开了。颜色真**好看。外观漂亮得很。,5,2018-09-13 12:36:33,詹***森,蓝楹紫,6GB +128GB,普通版,来自京东iPhone客户端,PLUS会员
14490,14490,HUAWEI nova 3i,满意，手机很好,5,2018-09-13 12:13:24,樱***草,亮黑色,6GB +128GB,普通版,来自京东Android客户端,PLUS会员
14491,14491,HUAWEI nova 3i,还可以就是有点发烫,5,2018-09-13 12:04:12,z***a,亮黑色,6GB +128GB,普通版,来自京东Android客户端,金牌会员
14492,14492,HUAWEI nova 3i,稍微玩一会就发热能退货吗,5,2018-09-13 12:01:56,X***e,蓝楹紫,6GB+64GB,普通版,来自微信购物,银牌会员
14493,14493,HUAWEI nova 3i,物流很快，目前手机还行，因为是偶像代言的，所以买了。。。。,5,2018-09-13 12:00:08,曦***爱,星耀版·樱草金,6GB +128GB,星耀版,来自京东Android客户端,银牌会员
14494,14494,HUAWEI nova 3i,还可以,5,2018-09-13 11:53:44,t***0,相思红,6GB +128GB,普通版,来自京东Android客户端,金牌会员
