,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
30832,30832,华为儿童手表,一星半星都不想给，只支持移动的卡，也不作特别说明。,1,2017-02-25 11:25:38,r***8,美国队长款,,,来自京东iPhone客户端,钻石会员
30833,30833,华为儿童手表,刚收到就降价，啥情况，还不给保价，差评！,1,2017-02-23 18:43:04,j***1,冰雪奇缘款,,,来自京东Android客户端,PLUS会员
30834,30834,华为儿童手表,包装太差了，脏乎乎的，心里十分不爽?,1,2017-02-22 15:54:14,t***8,冰雪奇缘款,,,来自京东Android客户端,PLUS会员[试用]
30835,30835,华为儿童手表,京东太坑，买了才10天左右就降价100，小孩都还没用过，申请价保，说是只保7天，玩这种花样的还能有什么前途。另外手表定位也并没有十分准确，打电话音质比较差，基本用不上，还不如买个便宜的了,1,2017-02-18 09:52:59,y***5,冰雪奇缘款,,,来自京东iPhone客户端,金牌会员
30836,30836,华为儿童手表,这么大的华为公司，这么贵的价格，居然连个充电的头子都不配，坑的很,1,2017-02-16 21:28:07,l***4,冰雪奇缘款,,,来自京东Android客户端,PLUS会员
30837,30837,华为儿童手表,只支持2G网络。垃圾垃圾,1,2017-02-13 18:31:50,h***2,冰雪奇缘款,,,来自京东Android客户端,PLUS会员
30838,30838,华为儿童手表,华为商城588，这里卖688，算我瞎了,1,2017-01-22 14:34:45,雨***雨,冰雪奇缘款,,,来自京东iPhone客户端,金牌会员
30839,30839,华为儿童手表,说实话对华为定位手表很失望，定位不准确，孩子明明在学校，定位跑到了500米外的国道边，好几次都是这样，要不定位自动跑到国道要不自动跑到别处，价格与效果不符，差距太大&hellip;&hellip;不是不支持国产，而是国产实在太坑人，价格不低也就算了，至少效果好吧！效果还这么差劲，今天早上孩子在学校，定位已经自动换了好几个位置,2,2017-03-16 08:32:48,j***c,美国队长款,,,来自京东Android客户端,PLUS会员
30840,30840,华为儿童手表,为什么打电话时有呱呱呱的噪音？,3,2017-03-15 20:15:42,j***l,米奇款,,,来自京东Android客户端,PLUS会员
30841,30841,华为儿童手表,刚下单半个小时就降价50，我也是无语了，感觉京东几次买电器都是这样。你刚买，在进去看降价了，过两天又返回原价了，套路很深啊！还有这么贵的手表，应该配个充电头，有点失望。好的一点，售后及时沟通，给返还了50，放在钱包里，还要在京东消费掉。,3,2017-03-12 20:53:46,裂***翼,美国队长款,,,来自京东Android客户端,钻石会员
30842,30842,华为儿童手表,孩子挺喜欢的，但定位不正确,3,2017-03-04 22:07:58,j***t,冰雪奇缘款,,,,银牌会员
30843,30843,华为儿童手表,定位不准确，华为售后客服也不专业，说联通卡不可以用，其实可以用与支持的,2,2017-03-04 15:19:16,j***2,美国队长款,,,来自京东iPhone客户端,钻石会员
30844,30844,华为儿童手表,此款手表，感觉没有360款的那个性价比高，价格有点偏高，建议大家不要购买，质量一般般分辨力太差了，定位速度特别慢，精度，不是想象的那么高,2,2017-03-04 10:59:50,x***g,冰雪奇缘款,,,来自京东Android客户端,PLUS会员
