,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
31353,31353,华为路由Q1,不知道怎么说，收到的第一个出现了五个大小问题，客服也处理不了，我都觉得是这款产品有缺陷了，但是觉得这个设计不错，放主机在书房，子路由放在主卧，家里一个路由肯定不够，多几个路由又需要好几个Wi-Fi并且用网线连接，麻烦也不好看，所以没有退货，而选择了换货，换一个再试试.，；现在嘛.换货用了一段时间了，近期没有才开始几天的时候好用了，现在信号显示满的，但是有时候是上不了网的，需要关闭手机Wi-Fi重新连一次，我也不知道什么原因，,3,2017-02-18 00:41:27,j***4,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,PLUS会员
31354,31354,华为路由Q1,产品确实不错，信号也很好，稳定，但是宣传是别墅都可以用，但网页产品介绍根本没说隔着空气开关就不能用了，难道不知道，现在很多别墅都每层都设有空气开关么？,3,2017-03-18 17:12:19,j***7,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,钻石会员
31355,31355,华为路由Q1,还行吧，信号一般般老掉线,3,2017-02-22 17:47:15,j***开,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,金牌会员
31356,31356,华为路由Q1,真是差到不行！垃圾！装了以后，连大众点评的图片都打不开！嬲到不行！只有2.5m的网速！发微信的文字信息都要一会儿才发出去！垃圾！垃圾！臭垃圾！,1,2017-03-15 21:30:47,b***棒,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,钻石会员
31357,31357,华为路由Q1,"优点:1.比之前的路由信号范围广一点，差距不大。2.外形时尚。3.设置还是挺方便（除了需要自己填写帐号密码）
缺点:1.宣传写的插到之前的路由器可以自动复制帐号密码，试过是不行的，必须自己手动填写。2.子路由完全没用啊，插到离母路由直线距离还不到3米的地方才可以用（中间只穿一堵墙哦！）
总结:功能对不起价钱！
第一次写这么认真的评价，华为对不起忠粉哦",1,2017-03-15 14:43:19,我***宝,【华为强覆盖子母路由Q1】黑,,,来自京东Android客户端,钻石会员
31358,31358,华为路由Q1,华为的东西很好，京东的服务不好，才买就降价，超级不爽。,1,2017-03-14 11:30:36,j***r,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,铜牌会员
31359,31359,华为路由Q1,只隔一道墙看着信号满格，但其实基本等于没网，东西也不便宜，还不如我之前买的100多的TP,1,2017-02-01 21:37:48,j***v,Q1子母路由 别墅覆盖,,,来自京东iPhone客户端,铜牌会员
31360,31360,华为路由Q1,搞什么鬼，我特意注明要发票，我的发票咧？万一出问题了，你保修怎么办？赶紧给我补,1,2017-03-14 01:18:29,j***0,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,银牌会员
31361,31361,华为路由Q1,好吗？京东你真厉害，昨天买今天降价，要不是我买的产品有问题我都不知道降价了，你们就是这样卖自营产品？我看出来了，我的心让你伤的不浅,1,2017-03-10 20:05:49,糖***洋,【华为强覆盖子母路由Q1】黑,,,来自京东Android客户端,PLUS会员
31362,31362,华为路由Q1,破玩意，用了没多久，不停的断网，断信号。,1,2017-03-06 11:38:46,j***5,【华为强覆盖子母路由Q1】黑,,,来自京东Android客户端,金牌会员
31363,31363,华为路由Q1,只能说是京东有史以来最差的一次网购了。,1,2017-01-25 20:42:22,j***0,Q1子母路由 别墅覆盖,,,来自京东Android客户端,钻石会员
31364,31364,华为路由Q1,东西不错，这一星是给京东的，买一天就降30，申请价格保护还说这属于限购商品，限购你大爷。。。,1,2017-03-02 23:24:17,乐***塍,【华为强覆盖子母路由Q1】黑,,,来自京东Android客户端,PLUS会员
31365,31365,华为路由Q1,子路由一直连不上，也不知道什么原因一直在闪,1,2017-02-16 07:44:45,jd_sw8183,【华为强覆盖子母路由Q1】黑,,,来自京东Android客户端,钻石会员
31366,31366,华为路由Q1,wlan只支持100M，标注非常不清，家里200m宽带，这货根本用不了。而且华为的售后非常非常2,1,2017-02-06 20:22:54,ProKK,Q1子母路由 别墅覆盖,,,,PLUS会员
31367,31367,华为路由Q1,倘若再给我一次机会-&mdash;&mdash;我决不会买！?不值！,1,2017-02-06 02:23:29,恬***兴,Q1子母路由 别墅覆盖,,,来自京东Android客户端,金牌会员
31368,31368,华为路由Q1,大路由信号很好，子路由掉线掉的不要不要的！！！要不是包装扔了，也不能退了。。。,3,2017-03-09 21:08:16,柯***蓝,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,PLUS会员
31369,31369,华为路由Q1,不是很好用，信号不稳定，经常断线,3,2017-03-13 09:40:40,增***子,【华为强覆盖子母路由Q1】黑,,,来自京东iPhone客户端,PLUS会员
31370,31370,华为路由Q1,装上上不了线,3,2017-03-13 11:12:27,W***A,【华为强覆盖子母路由Q1】黑,,,来自微信购物,金牌会员
31371,31371,华为路由Q1,儿子不起作用，自己弄不来，售后不上门，差评。,2,2017-03-26 09:10:36,j***杜,【华为强覆盖子母路由Q1】黑,,,来自京东Android客户端,PLUS会员
31372,31372,华为路由Q1,子路由设置一直弄不好，其它牌子电力猫都可以，就这个子路由不行,3,2017-01-22 21:40:07,鑫***麟,Q1子母路由 别墅覆盖,,,来自京东iPhone客户端,银牌会员
