,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
22302,22302, 畅享8,帮朋友买的、很满意的一款手机！很漂亮,5,2018-09-12 13:22:13,a***萱,浅艾蓝,普通版,4GB+64GB,来自京东iPhone客户端,钻石会员
22303,22303, 畅享8,第一次用华为手机，感觉不错，就是运行内存一共6G可用的只有3G。手感听音乐都感觉好，就是有些小问题，打开一些软件后，点加载成了返回？？？？重新打开后就好了。这也是我在以前的手机没遇到过的。还没这手机玩游戏，体验后再追评。,5,2018-08-20 17:22:05,1***1,曜石黑,普通版,6GB+128GB,来自京东Android客户端,金牌会员
22304,22304, 畅享8,发货速度很快。颜值非常高，送货速度非常快，信赖京东的货点赞，京东的服务态度一流，可以说是非常好的购物体验,5,2018-07-21 10:45:00,j***t,曜石黑,普通版,6GB+64GB,来自京东Android客户端,银牌会员
22305,22305, 畅享8,手机性价比非常高，运行速度快，就是这个颜色比较小众，不过老婆喜欢才是王道^_^,5,2018-08-25 21:14:04,醉***北,浅艾蓝,普通版,6GB+128GB,来自京东iPhone客户端,PLUS会员
22306,22306, 畅享8,屏幕模式有高和低两种选择，高模式比较耗电，手机音质可以，是HIFI音质，拍照像素好，自拍还有补光灯,5,2018-08-26 17:29:07,j***b,浅艾蓝,普通版,6GB+128GB,来自京东Android客户端,银牌会员
22307,22307, 畅享8,还没有使用，看着就挺不错的，信赖京东，等用过后再过来追加吧，感觉应该不会让我失望,5,2018-08-08 09:26:00,j***6,曜石黑,普通版,6GB+128GB,来自京东iPhone客户端,PLUS会员
22308,22308, 畅享8,非常非常满意的一次购物，最主要的是服务态度特别好，物流速度也很快，一直都是在京东上购物的，以后还会,5,2018-08-24 15:43:31,j***a,曜石黑,普通版,4GB+64GB,来自京东Android客户端,银牌会员
22309,22309, 畅享8,这款蓝色的真是超值啊！喜欢蓝色的没想到蓝色还降价了，果断入手，之前用的mate8，支持HUAWEI,5,2018-08-24 13:28:36,j***v,浅艾蓝,普通版,6GB+64GB,来自京东Android客户端,金牌会员
22310,22310, 畅享8,用了两天了，速度快，一般操作一点的都不卡。本人不玩游戏，电池基本能管一天，先给好评哦。。。。,5,2018-07-18 22:54:42,d***9,浅艾蓝,普通版,6GB+128GB,来自京东Android客户端,钻石会员
22311,22311, 畅享8,拍照，外形，处理速度都非常好。,5,2018-03-22 21:40:21,a***4,樱粉金,普通版,6GB+128GB,来自京东Android客户端,金牌会员
22312,22312, 畅享8,手机套做的高了，有点割手。价格还是不错的。送了自拍杆。6期免息可以慢慢还。,5,2018-09-09 22:31:05,王***舞,曜石黑,普通版,4GB+64GB,来自京东iPhone客户端,PLUS会员
