,Unnamed: 0,model,content,score,creationTime,nickname,productColor,productSales,productSize,userClientShow,userLevelName
24898,24898,畅享8e,质量好，服务态度好，快递物流特别快，好好好,5,2018-08-12 15:25:38,j***f,蓝色,4GB+64GB,标准版,来自京东iPhone客户端,金牌会员
24899,24899,畅享8e,买给妈妈的礼物，妈妈很喜欢，颜色也喜欢?,5,2018-08-11 00:13:01,j***6,粉色,4GB+64GB,标准版,来自京东iPhone客户端,钻石会员
24900,24900,畅享8e,收到了，物流好快，昨天上午我订好了，今天中午后收到了，我的手机是旧的也卡死黑幕了，今天我用新手机感觉不错，手机里面好不好也不知道，希望好用吧！谢谢快递人员辛苦,5,2018-09-13 13:55:33,在***实,粉色,4GB+64GB,标准版,来自京东iPhone客户端,金牌会员
24901,24901,畅享8e,还没用昨天晚上下单，现在已经收到货了，快,5,2018-08-18 12:51:39,j***1,金色,4GB+64GB,标准版,来自京东iPhone客户端,金牌会员
24902,24902,畅享8e,此用户未填写评价内容,5,2018-08-17 11:36:06,Z***0,金色,4GB+64GB,标准版,来自京东Android客户端,PLUS会员
24903,24903,畅享8e,"优点外观还可以，大小合适，偏长。有nfc功能，可以试用一下，不装太多其他应用做备用机合适。
缺点送的手机壳比较差，边角割手，没有膜，塑料感强，预装垃圾太多。",5,2018-09-15 19:48:13,R***7,金色,3GB+32GB,全网通NFC版,来自京东Android客户端,金牌会员
24904,24904,畅享8e,手机不错，外观漂亮经济实惠,5,2018-07-06 12:02:28,前***P,粉色,4GB+64GB,标准版,来自京东Android客户端,金牌会员
24905,24905,畅享8e,东西收到了，目前还可以，希望以后也好用。,5,2018-08-16 19:36:15,j***l,蓝色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24906,24906,畅享8e,手机已收到，非常满意，好用，好看，满意！,5,2018-08-15 14:57:32,平***态,粉色,4GB+64GB,标准版,来自京东iPhone客户端,金牌会员
24907,24907,畅享8e,不错，千元机算是性价比高的了。,5,2018-08-19 18:44:24,陈唐666,蓝色,3GB+32GB,全网通NFC版,来自京东iPhone客户端,铜牌会员
24908,24908,畅享8e,享受一把千元机的喜悦，华为品质值得购买！,5,2018-08-19 17:01:57,小***叶,蓝色,3GB+32GB,全网通NFC版,来自京东Android客户端,银牌会员
24909,24909,畅享8e,***图有40京豆，我喜欢，哈哈哈哈,5,2018-09-08 21:56:37,红***龙,黑色,3GB+32GB,标准版,来自京东Android客户端,金牌会员
24910,24910,畅享8e,物流超速，母亲很满意，支持华为国货。,5,2018-09-08 15:21:00,1***p,金色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24911,24911,畅享8e,不做多的评论，等用过之后看看好的话再来,5,2018-08-25 18:44:48,今***8,金色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24912,24912,畅享8e,很好用，部门人手一台，不错,5,2018-04-20 09:59:11,李***u,蓝色,3GB+32GB,标准版,来自京东Android客户端,金牌会员
24913,24913,畅享8e,还好，送货挺快的，手机也好，全是五星,5,2018-09-05 12:42:23,j***9,金色,3GB+32GB,全网通NFC版,来自京东Android客户端,铜牌会员
24914,24914,畅享8e,此用户未填写评价内容,5,2018-08-08 20:25:42,j***q,粉色,4GB+64GB,标准版,来自京东Android客户端,PLUS会员
24915,24915,畅享8e,手机很漂亮，手感不错，物流很快，很好用,5,2018-08-21 13:37:24,j***o,粉色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24916,24916,畅享8e,大品牌值得信赖，支持国货，热爱祖国,5,2018-09-17 17:09:35,Z***W,粉色,4GB+64GB,标准版,来自京东Android客户端,钻石会员
24917,24917,畅享8e,孩子喜欢，屏幕、配置都很不错，赞一个！,5,2018-08-13 08:31:21,n***o,蓝色,4GB+64GB,标准版,,钻石会员
24918,24918,畅享8e,女儿非常喜欢这款手机，拍出的照片美美哒,5,2018-08-13 07:55:23,安***砚,粉色,4GB+64GB,标准版,来自京东Android客户端,钻石会员
24919,24919,畅享8e,用着挺好，照相很清晰，跟我预想，一样。,5,2018-08-09 20:46:44,二***范,蓝色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24920,24920,畅享8e,还不错，屏幕大，内存大，其它用着也还不错。,5,2018-07-13 09:58:12,h***k,粉色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24921,24921,畅享8e,很流畅，还可以，质量不错，基本上满意！,5,2018-08-09 18:21:09,勃***工,蓝色,4GB+64GB,标准版,来自京东Android客户端,钻石会员
24922,24922,畅享8e,好看，老妈喜欢，帮奶奶买了老人机一起,5,2018-08-22 21:36:07,c***0,粉色,4GB+64GB,标准版,来自京东iPhone客户端,银牌会员
24923,24923,畅享8e,很好看吧，经济实惠又好用。,5,2018-08-21 13:34:50,新***7,金色,4GB+64GB,标准版,来自微信购物,银牌会员
24924,24924,畅享8e,一如既往的支持京东。商品很满意。。,5,2018-08-29 22:17:51,j***6,黑色,3GB+32GB,标准版,来自京东Android客户端,钻石会员
24925,24925,畅享8e,老婆很喜欢，很漂亮！手机反应很快！,5,2018-08-25 18:53:51,j***c,粉色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24926,24926,畅享8e,很满意，这已经是买第二个了，很不错！,5,2018-08-08 10:59:52,j***z,蓝色,4GB+64GB,标准版,来自京东Android客户端,银牌会员
24927,24927,畅享8e,手机看起来是挺好的。饭是质量真的不太好，我用了十几天，就开始比较慢，最重要是回到家别的手机用同一个无线网都能用就是这手机连不了，就算连了也不能用，不知道你们买有没有试过这样,4,2018-08-28 23:06:59,1***p,黑色,4GB+64GB,标准版,,银牌会员
24928,24928,畅享8e,华为 HUAWEI 畅享8 全面屏三卡槽 3GB+32GB 蓝色 全网通NFC版 移动联通电信4G手机 双卡双待    899元,5,2018-09-18 11:04:54,来自上海的问候,蓝色,3GB+32GB,全网通NFC版,来自京东Android客户端,PLUS会员
24929,24929,畅享8e,东西很不错，希望后面使用也不错,5,2018-09-02 13:08:16,g***n,金色,4GB+64GB,标准版,来自京东Android客户端,金牌会员
24930,24930,畅享8e,挺好用的，给爸爸买的，看到很高兴,5,2018-08-18 23:14:09,j***c,金色,3GB+32GB,标准版,来自京东iPhone客户端,银牌会员
24931,24931,畅享8e,送朋友的 朋友挺喜欢 送货速度快,5,2018-08-10 21:42:56,大***象,蓝色,4GB+64GB,标准版,来自京东iPhone客户端,钻石会员
24932,24932,畅享8e,满分！快递小哥越给力,5,2018-09-18 20:25:05,j***8,金色,4GB+64GB,标准版,来自微信购物,银牌会员
24933,24933,畅享8e,没有发票，另外送的耳机没用来就坏了，不能用了，不知道咋搞得，凑合吧，用段时间在追评,3,2018-08-19 13:59:59,j***9,金色,标准版,3G+32G,来自京东Android客户端,铜牌会员
24934,24934,畅享8e,快递没得说，但手机就不敢恭维了，系统升级后变得很卡，充电也变慢,2,2018-08-15 18:20:53,jd_184680joo,黑色,标准版,3G+32G,来自京东Android客户端,银牌会员
24935,24935,畅享8e,质量有问题，手机不受控制,1,2018-09-09 23:38:35,j***b,金色,标准版,3G+32G,来自微信购物,银牌会员
24936,24936,畅享8e,屏幕的质量太差了，用了不到20天，只摔了这一次，就碎成这样了，让客服客服，只让去自己去维修，之前用的手机摔过无数次的屏幕也没事儿,1,2018-08-10 08:02:31,j***零,蓝色,标准版,3G+32G,来自京东Android客户端,银牌会员
